0.1340, 0.0324
0.0742, 0.0242
0.0578, 0.0235
0.0500, 0.0189
0.0423, 0.0150
0.0369, 0.0141
0.0340, 0.0146
0.0300, 0.0153
0.0274, 0.0149
0.0256, 0.0156
0.0243, 0.0114
0.0225, 0.0114
0.0204, 0.0119
0.0201, 0.0129
0.0187, 0.0084
0.0181, 0.0114
0.0165, 0.0160
0.0160, 0.0070
0.0149, 0.0063
0.0137, 0.0081
0.0135, 0.0059
0.0135, 0.0096
0.0127, 0.0079
0.0126, 0.0119
0.0114, 0.0097
0.0107, 0.0124
0.0106, 0.0089
0.0105, 0.0064
0.0098, 0.0049
0.0091, 0.0064
0.0096, 0.0066
0.0087, 0.0080
0.0082, 0.0055
0.0088, 0.0040
0.0079, 0.0061
0.0076, 0.0054
0.0070, 0.0053
0.0069, 0.0056
0.0066, 0.0048
0.0060, 0.0108
0.0065, 0.0064
0.0063, 0.0042
0.0062, 0.0037
0.0060, 0.0053
0.0052, 0.0036
0.0056, 0.0040
0.0057, 0.0039
0.0062, 0.0029
0.0051, 0.0026
0.0056, 0.0021
0.0051, 0.0053
0.0055, 0.0032
0.0041, 0.0039
0.0048, 0.0018
0.0045, 0.0032
0.0044, 0.0026
0.0039, 0.0026
0.0042, 0.0044
0.0045, 0.0044
0.0043, 0.0039
0.0037, 0.0054
0.0041, 0.0070
0.0039, 0.0048
0.0037, 0.0059
0.0039, 0.0055
0.0032, 0.0060
0.0036, 0.0057
0.0031, 0.0052
0.0029, 0.0027
0.0032, 0.0079
0.0031, 0.0047
0.0035, 0.0040
0.0034, 0.0035
0.0028, 0.0039
0.0028, 0.0046
0.0024, 0.0029
0.0027, 0.0024
0.0030, 0.0033
0.0032, 0.0052
0.0029, 0.0057
0.0032, 0.0019
0.0027, 0.0021
0.0023, 0.0023
0.0025, 0.0034
0.0026, 0.0079
0.0025, 0.0023
0.0029, 0.0039
0.0025, 0.0027
0.0026, 0.0054
0.0021, 0.0048
0.0021, 0.0049
0.0018, 0.0055
0.0024, 0.0084
0.0025, 0.0054
0.0024, 0.0042
0.0020, 0.0029
0.0020, 0.0039
0.0023, 0.0041
0.0019, 0.0049
0.0025, 0.0043
