0.1391, 0.0482
0.0770, 0.0357
0.0599, 0.0299
0.0506, 0.0268
0.0431, 0.0300
0.0381, 0.0211
0.0344, 0.0191
0.0316, 0.0183
0.0287, 0.0196
0.0269, 0.0172
0.0249, 0.0175
0.0226, 0.0147
0.0214, 0.0154
0.0209, 0.0123
0.0199, 0.0127
0.0185, 0.0155
0.0177, 0.0151
0.0159, 0.0232
0.0158, 0.0139
0.0156, 0.0145
0.0146, 0.0107
0.0130, 0.0111
0.0127, 0.0123
0.0129, 0.0129
0.0117, 0.0140
0.0116, 0.0106
0.0107, 0.0109
0.0103, 0.0116
0.0102, 0.0133
0.0101, 0.0140
0.0091, 0.0112
0.0095, 0.0103
0.0089, 0.0131
0.0087, 0.0150
0.0081, 0.0103
0.0083, 0.0093
0.0075, 0.0116
0.0076, 0.0105
0.0074, 0.0112
0.0074, 0.0128
0.0069, 0.0117
0.0062, 0.0119
0.0063, 0.0087
0.0060, 0.0098
0.0059, 0.0096
0.0059, 0.0135
0.0056, 0.0135
0.0058, 0.0142
0.0054, 0.0162
0.0053, 0.0118
0.0047, 0.0128
0.0053, 0.0136
0.0047, 0.0134
0.0048, 0.0127
0.0048, 0.0120
0.0052, 0.0113
0.0055, 0.0143
0.0052, 0.0099
0.0046, 0.0138
0.0043, 0.0139
0.0043, 0.0155
0.0049, 0.0151
0.0041, 0.0127
0.0043, 0.0106
0.0042, 0.0113
0.0038, 0.0172
0.0037, 0.0142
0.0036, 0.0129
0.0035, 0.0133
